url,product_name,reviewer_name,review_title,review_text,review_rating,verified_purchase,review_date,helpful_count,uniq_id,scraped_at
https://www.amazon.co.uk/dp/B07SBX32T5,"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Jocelyn McSayles,Love em,love looking converse half price unique— ’ never seen clear shoe like fit great plastic take little getting used style worth,5.0,True,Reviewed in the United States on 2 June 2020,2 people found this helpful,36eae4e5-2894-5279-a0b7-d2b330e2b814,24/12/2021 02:26:25
https://www.amazon.co.uk/dp/B07SBX32T5,"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Kenia Rivera,The plastic ripped,shoe cute 2nd day wearing tongue started ripping 3rd day wearing plastic side ripped could ripped bc wearing work lot walking work ’ going buy ’ recommend wearing day lot walking might rip,2.0,True,Reviewed in the United States on 28 October 2021,,f4778bb8-3070-5cb1-b5aa-ffce41a97b57,24/12/2021 02:26:25
https://www.amazon.co.uk/dp/B07SBX32T5,"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Chris Souza,Good quality,good quality,5.0,True,Reviewed in the United States on 20 January 2021,,db5a7525-d40b-5265-84d8-df4f29837a3b,24/12/2021 02:26:25
https://www.amazon.co.uk/dp/B07SBX32T5,"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Amazon Customer,Good,great,5.0,True,Reviewed in the United States on 22 April 2021,,75a42851-6462-54b5-988a-27d336221943,24/12/2021 02:26:25
https://www.amazon.co.uk/dp/B08SW434MG,"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",Graziella,PERFETTE!!,ho scelto il modello bianco con rifinitura dietro nera e posso dire che da vicino le scarpe sono ancora più belle il mio numero è 38 385 ed ho ordinato il numero 38 e mi va benespedizione veloce il pacco è arrivato anche prima del previsto prezzo ottimo dato che giro costano almeno 10 15 euro più,5.0,True,Reviewed in Italy on 2 April 2021,2 people found this helpful,232dee43-849e-5d06-ba05-efb3f4814714,24/12/2021 02:26:25
https://www.amazon.co.uk/dp/B08SW434MG,"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",Francesca,delusione,sono solita comprare scarpe guess e non ho mai avuto problemi con la taglia questo caso invece mi sono arrivate delle scarpe che nonostante fossero il solito numero che prendo sono molto piccole sembra quasi due numeri meno quindi immettibili,1.0,True,Reviewed in Italy on 27 September 2021,,6fe245b1-453e-59f4-bde8-b40eac3bddcd,24/12/2021 02:26:25
https://www.amazon.co.uk/dp/B08SW434MG,"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",Cliente,Molto belle,le scarpe sono molto belle calzano perfettamente,5.0,True,Reviewed in Italy on 8 April 2021,2 people found this helpful,deb5e278-70b5-5e2c-9ad7-93bf5c26a41d,24/12/2021 02:26:25
https://www.amazon.co.uk/dp/B08SW434MG,"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",Cliente Amazon,Molto carine e comode,semplicemente perfette io uso plantari su misura per piede piatto e dentro queste scarpe ci stanno perfettamente la scarpa è comoda e da una buona stabilità al piede le consiglio,5.0,True,Reviewed in Italy on 5 July 2021,,5aad8538-dbdc-5438-ba95-7e152c1699e9,24/12/2021 02:26:25
https://www.amazon.co.uk/dp/B08SW434MG,"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",Marcella,Bellissime....peccato per il numero,le scarpe sono bellissime arrivate perfetto stato con una spedizione impeccabile purtroppo il 41 mi andava stretto e non fanno il 42 le ho dovute restituire il venditore disponibile e gentile,5.0,True,Reviewed in Italy on 9 November 2021,,4244f10c-b001-56b8-a970-e4f3685757b3,24/12/2021 02:26:25
https://www.amazon.co.uk/dp/B08SW434MG,"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",Giuseppe,"Scarpe ben realizzate, venditore ottimo",le scarpe sono ben fatte e il venditore molto preciso perchè ho dovuto fare un reso e mi ha rimborsato perfettamente bravo resta nei preferiti,5.0,True,Reviewed in Italy on 31 July 2021,,ede605fd-df17-54bb-99ae-f24df534b37f,24/12/2021 02:26:25
